"Route of Travel","Quarter","Statistic Label","UNIT","VALUE"
"Transatlantic","2012Q1","Overseas Trips by Irish Residents","Thousand","57"
"Transatlantic","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Transatlantic","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","187"
"Transatlantic","2012Q2","Overseas Trips by Irish Residents","Thousand","81"
"Transatlantic","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.7"
"Transatlantic","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","217"
"Transatlantic","2012Q3","Overseas Trips by Irish Residents","Thousand","89"
"Transatlantic","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","14.9"
"Transatlantic","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","146"
"Transatlantic","2012Q4","Overseas Trips by Irish Residents","Thousand","78"
"Transatlantic","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"Transatlantic","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","96"
"Transatlantic","2013Q1","Overseas Trips by Irish Residents","Thousand","59"
"Transatlantic","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"Transatlantic","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","216"
"Transatlantic","2013Q2","Overseas Trips by Irish Residents","Thousand","76"
"Transatlantic","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"Transatlantic","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","288"
"Transatlantic","2013Q3","Overseas Trips by Irish Residents","Thousand","108"
"Transatlantic","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.8"
"Transatlantic","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","128"
"Transatlantic","2013Q4","Overseas Trips by Irish Residents","Thousand","84"
"Transatlantic","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.8"
"Transatlantic","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","114"
"Transatlantic","2014Q1","Overseas Trips by Irish Residents","Thousand","54"
"Transatlantic","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"Transatlantic","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","250"
"Transatlantic","2014Q2","Overseas Trips by Irish Residents","Thousand","105"
"Transatlantic","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"Transatlantic","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","315"
"Transatlantic","2014Q3","Overseas Trips by Irish Residents","Thousand","109"
"Transatlantic","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","14.4"
"Transatlantic","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","215"
"Transatlantic","2014Q4","Overseas Trips by Irish Residents","Thousand","135"
"Transatlantic","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.7"
"Transatlantic","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","131"
"Transatlantic","2015Q1","Overseas Trips by Irish Residents","Thousand","112"
"Transatlantic","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","14.6"
"Transatlantic","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","319"
"Transatlantic","2015Q2","Overseas Trips by Irish Residents","Thousand","141"
